ticker,timeframe,bar_close_utc,bar_close_est,signal,close_price
MRNA,2H,2026-03-20 19:30 UTC,2026-03-20 15:30 ET,SHORT,51.4
MRNA,3H,2026-03-20 19:30 UTC,2026-03-20 15:30 ET,SHORT,51.4
WMT,2H,2026-03-18 19:30 UTC,2026-03-18 15:30 ET,SHORT,121.995
INTU,2H,2026-03-17 19:30 UTC,2026-03-17 15:30 ET,LONG,459.31
INTU,4H,2026-03-16 13:30 UTC,2026-03-16 09:30 ET,SHORT,454.42
WMT,2H,2026-03-13 15:30 UTC,2026-03-13 11:30 ET,LONG,126.22
LLY,2H,2026-03-13 13:30 UTC,2026-03-13 09:30 ET,SHORT,988.995
INTU,3H,2026-03-11 19:30 UTC,2026-03-11 15:30 ET,SHORT,440.51
LLY,2H,2026-03-11 15:30 UTC,2026-03-11 11:30 ET,LONG,1000.6
INTU,2H,2026-03-11 13:30 UTC,2026-03-11 09:30 ET,SHORT,441.3515
MRNA,2H,2026-03-04 18:30 UTC,2026-03-04 13:30 ET,LONG,59.3727
MRNA,2H,2026-03-03 20:30 UTC,2026-03-03 15:30 ET,SHORT,49.83
INTU,4H,2026-03-02 14:30 UTC,2026-03-02 09:30 ET,LONG,428.59
INTU,3H,2026-02-27 14:30 UTC,2026-02-27 09:30 ET,LONG,402.64
CRM,4H,2026-02-26 18:30 UTC,2026-02-26 13:30 ET,LONG,199.44
INTU,2H,2026-02-26 18:30 UTC,2026-02-26 13:30 ET,LONG,392.53
CRM,3H,2026-02-26 14:30 UTC,2026-02-26 09:30 ET,LONG,196.735
CRM,2H,2026-02-25 20:30 UTC,2026-02-25 15:30 ET,LONG,191.94
WMT,4H,2026-02-20 14:30 UTC,2026-02-20 09:30 ET,SHORT,121.38
LLY,3H,2026-02-19 14:30 UTC,2026-02-19 09:30 ET,SHORT,1015.87
MRNA,4H,2026-02-19 14:30 UTC,2026-02-19 09:30 ET,LONG,48.265
WMT,3H,2026-02-18 20:30 UTC,2026-02-18 15:30 ET,SHORT,126.6
WMT,2H,2026-02-18 18:30 UTC,2026-02-18 13:30 ET,SHORT,126.21
MRNA,3H,2026-02-18 17:30 UTC,2026-02-18 12:30 ET,LONG,46.49
MRNA,2H,2026-02-17 20:30 UTC,2026-02-17 15:30 ET,LONG,43.93
WMT,3H,2026-02-12 20:30 UTC,2026-02-12 15:30 ET,LONG,133.64
WMT,2H,2026-02-12 18:30 UTC,2026-02-12 13:30 ET,LONG,134.28
LLY,2H,2026-02-11 20:30 UTC,2026-02-11 15:30 ET,SHORT,1015.0
WMT,3H,2026-02-11 20:30 UTC,2026-02-11 15:30 ET,SHORT,128.78
INTU,2H,2026-02-11 16:30 UTC,2026-02-11 11:30 ET,SHORT,402.41
WMT,2H,2026-02-10 20:30 UTC,2026-02-10 15:30 ET,SHORT,126.76
INTU,2H,2026-02-09 14:30 UTC,2026-02-09 09:30 ET,LONG,437.69
LLY,3H,2026-02-05 14:30 UTC,2026-02-05 09:30 ET,LONG,1028.587
LLY,2H,2026-02-04 18:30 UTC,2026-02-04 13:30 ET,LONG,1107.545
