time,open,high,low,close,SS Line,SS Shifted,Ride Line,BUY,SELL
1739219400,153.95,154.37,153.9,154.23,153.72220290669878,153.61598553140055,153.2006340720884,0,0
1739284200,154.16,156.39,153.94,156.13,153.7696352603702,153.67574425207604,153.2006340720884,0,0
1739295000,156.12,156.347,155.385,156.26,153.8410609670574,153.72220290669878,153.27573375762293,0,0
1739305800,156.26,156.39,155.95,156.12,153.96184131912077,153.7696352603702,153.42118033893163,0,0
1739370600,155.27,155.6599,154.27,155.125,154.10505263130528,153.8410609670574,153.5369388639868,0,0
1739381400,155.12,155.44,154.605,155.41,154.25408212321656,153.96184131912077,153.69672648213512,0,0
1739392200,155.42,155.55,155.14,155.24,154.39527867973777,154.10505263130528,153.86309129873356,0,0
1739457000,155.26,157.37,154.79,157.19,154.53076932919748,154.25408212321656,153.94445247540787,0,0
1739467800,157.18,158.13,156.92,157.54,154.6787436427191,154.39527867973777,154.0910922784859,0,0
1739478600,157.54,157.68,157.16,157.27,154.85310845490207,154.53076932919748,154.28886075954264,0,0
1739543400,157.29,157.47,156.08,156.585,155.04473885290986,154.6787436427191,154.47115170721898,0,0
1739554200,156.59,157.02,156.35,156.48,155.23941338807765,154.85310845490207,154.68286818136468,0,0
1739565000,156.49,156.749,156.06,156.11,155.42635335284544,155.04473885290986,154.88495423232627,0,0
1739889000,154.14,155.45,153.24,154.84,155.59285934339186,155.23941338807765,154.98763158862405,0,0
1739899800,154.835,155.3,154.31,155.28,155.7252633629104,155.42635335284544,155.12790901919743,0,0
1739910600,155.2757,155.41,154.85,155.01,155.82063858914563,155.59285934339186,155.24595241284072,0,0
1739975400,155,157.5,154.75,157.12,155.88443198785825,155.7252633629104,155.25258053843226,0,0
1739986200,157.13,158.099,157.06,158.07,155.93846255986955,155.82063858914563,155.31463621397398,0,0
1739997000,158.065,158.3,157.81,157.9,156.0113127149669,155.88443198785825,155.41454539377816,0,0
